university,model,origin_last_year,year,forecast
City University of Hong Kong,linear,2025,2027,74.29723261032177
City University of Hong Kong,linear,2025,2028,76.86387434554945
"City, University of London",linear,2025,2026,58.71333333333314
"City, University of London",linear,2025,2027,62.1266666666661
"City, University of London",linear,2025,2028,65.53999999999996
Clark University,naive,2025,2026,40.7
Clark University,naive,2025,2027,40.7
Clark University,naive,2025,2028,40.7
Claude Bernard University Lyon 1,linear,2025,2026,54.69333333333361
Claude Bernard University Lyon 1,linear,2025,2027,57.879393939394504
Claude Bernard University Lyon 1,linear,2025,2028,61.065454545454486
Cochin University of Science and Technology,linear,2025,2026,26.809722222222263
Cochin University of Science and Technology,linear,2025,2027,28.360555555555493
Cochin University of Science and Technology,linear,2025,2028,29.911388888888723
Colorado School of Mines,naive,2025,2026,47.6
Colorado School of Mines,naive,2025,2027,47.6
Colorado School of Mines,naive,2025,2028,47.6
"Colorado State University, Fort Collins",linear,2025,2026,55.29666666666708
"Colorado State University, Fort Collins",linear,2025,2027,58.2951515151517
"Colorado State University, Fort Collins",linear,2025,2028,61.293636363636324
Columbia University,naive,2025,2026,89.8
Columbia University,naive,2025,2027,89.8
Columbia University,naive,2025,2028,89.8
Comenius University Bratislava,linear,2025,2026,32.11000000000013
Comenius University Bratislava,linear,2025,2027,34.02545454545452
Comenius University Bratislava,linear,2025,2028,35.94090909090892
Complutense University of Madrid,linear,2025,2026,53.210000000000946
Complutense University of Madrid,linear,2025,2027,56.55000000000018
Complutense University of Madrid,linear,2025,2028,59.89000000000033
Concordia University,linear,2025,2026,49.47999999999956
Concordia University,linear,2025,2027,52.70727272727254
Concordia University,linear,2025,2028,55.934545454544605
Copenhagen Business School,naive,2024,2025,52.05
Copenhagen Business School,naive,2024,2026,52.05
Copenhagen Business School,naive,2024,2027,52.05
Cornell University,naive,2025,2026,89.2
Cornell University,naive,2025,2027,89.2
Cornell University,naive,2025,2028,89.2
Coventry University,linear,2025,2026,46.636666666666315
Coventry University,linear,2025,2027,49.83060606060553
Coventry University,linear,2025,2028,53.02454545454475
Curtin University,linear,2025,2026,67.67000000000007
Curtin University,linear,2025,2027,72.0445454545461
Curtin University,linear,2025,2028,76.4190909090903
Cyprus University of Technology,linear,2025,2026,40.604166666666686
Cyprus University of Technology,linear,2025,2027,40.504999999999995
Cyprus University of Technology,linear,2025,2028,40.405833333333334
Czech Technical University in Prague,linear,2025,2026,33.03666666666686
Czech Technical University in Prague,linear,2025,2027,34.97969696969676
Czech Technical University in Prague,linear,2025,2028,36.922727272727116
Czech University of Life Sciences Prague (CZU),linear,2025,2026,36.64861111111168
Czech University of Life Sciences Prague (CZU),linear,2025,2027,39.28277777777839
Czech University of Life Sciences Prague (CZU),linear,2025,2028,41.91694444444511
Dalhousie University,naive,2025,2026,52.35
Dalhousie University,naive,2025,2027,52.35
Dalhousie University,naive,2025,2028,52.35
Dalian University of Technology,linear,2025,2026,53.26333333333332
Dalian University of Technology,linear,2025,2027,57.30848484848593
Dalian University of Technology,linear,2025,2028,61.353636363636724
Dartmouth College,naive,2025,2026,60.7
Dartmouth College,naive,2025,2027,60.7
Dartmouth College,naive,2025,2028,60.7
De Montfort University,linear,2025,2026,47.90333333333365
De Montfort University,linear,2025,2027,51.24121212121281
De Montfort University,linear,2025,2028,54.579090909091065
Deakin University,linear,2025,2026,64.91666666666697
Deakin University,linear,2025,2027,68.7715151515149
Deakin University,linear,2025,2028,72.62636363636375
Delft University of Technology,linear,2025,2026,75.65142857142837
Delft University of Technology,linear,2025,2027,77.01535714285683
Delft University of Technology,linear,2025,2028,78.37928571428529
Diego Portales University,linear,2025,2026,33.804166666666674
Diego Portales University,linear,2025,2027,33.741666666666674
Diego Portales University,linear,2025,2028,33.679166666666674
Doshisha University,naive,2025,2026,17.8
Doshisha University,naive,2025,2027,17.8
Doshisha University,naive,2025,2028,17.8
Drexel University,linear,2025,2026,50.077900552486426
Drexel University,linear,2025,2027,51.51585635359106
Drexel University,linear,2025,2028,52.95381215469615
Dublin City University,linear,2025,2026,55.32333333333281
Dublin City University,linear,2025,2027,58.80030303030253
Dublin City University,linear,2025,2028,62.27727272727225
Duke University,naive,2025,2026,83.4
Duke University,naive,2025,2027,83.4
Duke University,naive,2025,2028,83.4
Durham University,naive,2025,2026,60.4
Durham University,naive,2025,2027,60.4
Durham University,naive,2025,2028,60.4
ETH Zurich,linear,2025,2026,92.2295238095237
ETH Zurich,linear,2025,2027,92.75988095238085
ETH Zurich,linear,2025,2028,93.29023809523801
East China Normal University,linear,2025,2026,63.10666666666839
East China Normal University,linear,2025,2027,67.68242424242453
East China Normal University,linear,2025,2028,72.25818181818249
East China University of Science and Technology,linear,2025,2026,42.590000000000146
East China University of Science and Technology,linear,2025,2027,45.209090909091174
East China University of Science and Technology,linear,2025,2028,47.8281818181822
Eastern Mediterranean University,linear,2025,2026,44.65555555555602
Eastern Mediterranean University,linear,2025,2027,47.102222222222736
Eastern Mediterranean University,linear,2025,2028,49.54888888888945
Edinburgh Napier University,linear,2025,2026,49.32499999999982
Edinburgh Napier University,linear,2025,2027,52.33666666666613
Edinburgh Napier University,linear,2025,2028,55.34833333333245
Edith Cowan University,linear,2025,2026,59.56999999999971
Edith Cowan University,linear,2025,2027,63.69272727272801
Edith Cowan University,linear,2025,2028,67.81545454545449
Ehime University,linear,2025,2026,23.74333333333334
Ehime University,linear,2025,2027,24.950303030303076
Ehime University,linear,2025,2028,26.15727272727281
Eindhoven University of Technology,linear,2025,2026,57.09380952380957
Eindhoven University of Technology,linear,2025,2027,57.4372023809525
Eindhoven University of Technology,linear,2025,2028,57.780595238095316
Emory University,naive,2025,2026,66.3
Emory University,naive,2025,2027,66.3
Emory University,naive,2025,2028,66.3
Erasmus University Rotterdam,naive,2025,2026,65.6
Erasmus University Rotterdam,naive,2025,2027,65.6
Erasmus University Rotterdam,naive,2025,2028,65.6
Erciyes University,linear,2025,2026,29.070000000000164
Erciyes University,linear,2025,2027,31.090000000000146
Erciyes University,linear,2025,2028,33.11000000000058
Ewha Womans University,linear,2025,2026,44.58666666666613
Ewha Womans University,linear,2025,2027,47.066969696968954
Ewha Womans University,linear,2025,2028,49.547272727271775
Eötvös Loránd University,naive,2025,2026,36.3
Eötvös Loránd University,naive,2025,2027,36.3
Eötvös Loránd University,naive,2025,2028,36.3
Federal University of Goiás,linear,2025,2026,23.174999999999727
Federal University of Goiás,linear,2025,2027,24.359999999999673
Federal University of Goiás,linear,2025,2028,25.545000000000073
Federal University of Lavras,linear,2025,2026,29.480000000000473
Federal University of Lavras,linear,2025,2027,31.833636363636288
Federal University of Lavras,linear,2025,2028,34.18727272727301
Federal University of Minas Gerais,naive,2025,2026,36.3
Federal University of Minas Gerais,naive,2025,2027,36.3
Federal University of Minas Gerais,naive,2025,2028,36.3
