university,origin_year,horizon,model,mae,rmse,n_points,step
Arizona State University (Tempe),2018,3,naive,0.8999999999999986,0.8999999999999986,1,1
Arizona State University (Tempe),2018,3,linear,2.967857142857156,2.967857142857156,1,1
Arizona State University (Tempe),2018,3,prophet,8.19758964658189,8.19758964658189,1,1
Arizona State University (Tempe),2018,3,naive,1.0,1.0,1,2
Arizona State University (Tempe),2018,3,linear,0.08571428571426765,0.08571428571426765,1,2
Arizona State University (Tempe),2018,3,prophet,14.177202607085825,14.177202607085825,1,2
Arizona State University (Tempe),2018,3,naive,2.8999999999999986,2.8999999999999986,1,3
Arizona State University (Tempe),2018,3,linear,2.7964285714286206,2.7964285714286206,1,3
Arizona State University (Tempe),2019,3,naive,1.8999999999999986,1.8999999999999986,1,1
Arizona State University (Tempe),2019,3,linear,1.2333333333334835,1.2333333333334835,1,1
Arizona State University (Tempe),2019,3,prophet,3.6999406665982164,3.6999406665982164,1,1
Arizona State University (Tempe),2019,3,naive,3.799999999999997,3.799999999999997,1,2
Arizona State University (Tempe),2019,3,linear,4.313333333333318,4.313333333333318,1,2
Arizona State University (Tempe),2019,3,prophet,6.499934157700189,6.499934157700189,1,2
Arizona State University (Tempe),2019,3,naive,0.3999999999999986,0.3999999999999986,1,3
Arizona State University (Tempe),2019,3,linear,2.093333333333611,2.093333333333611,1,3
Arizona State University (Tempe),2020,3,naive,1.8999999999999986,1.8999999999999986,1,1
Arizona State University (Tempe),2020,3,linear,3.819999999999979,3.819999999999979,1,1
Arizona State University (Tempe),2020,3,prophet,1.429507773501669,1.429507773501669,1,1
Arizona State University (Tempe),2020,3,naive,1.5,1.5,1,2
Arizona State University (Tempe),2020,3,linear,1.5327272727271506,1.5327272727271506,1,2
Arizona State University (Tempe),2020,3,prophet,2.44952641040463,2.44952641040463,1,2
Arizona State University (Tempe),2020,3,naive,0.29999999999999716,0.29999999999999716,1,3
Arizona State University (Tempe),2020,3,linear,3.8454545454543236,3.8454545454543236,1,3
Arizona State University (Tempe),2021,3,naive,3.3999999999999986,3.3999999999999986,1,1
Arizona State University (Tempe),2021,3,linear,0.14363636363614063,0.14363636363614063,1,1
Arizona State University (Tempe),2021,3,prophet,4.901372591349556,4.901372591349556,1,1
Arizona State University (Tempe),2021,3,naive,2.1999999999999957,2.1999999999999957,1,2
Arizona State University (Tempe),2021,3,linear,2.282727272727108,2.282727272727108,1,2
Arizona State University (Tempe),2021,3,prophet,4.74483147391183,4.74483147391183,1,2
Arizona State University (Tempe),2021,3,naive,4.699999999999996,4.699999999999996,1,3
Arizona State University (Tempe),2021,3,linear,0.7218181818180724,0.7218181818180724,1,3
Australian National University,2016,3,naive,1.7999999999999972,1.7999999999999972,1,1
Australian National University,2016,3,linear,3.559999999999988,3.559999999999988,1,1
Australian National University,2016,3,prophet,3.1383749375791865,3.1383749375791865,1,1
Australian National University,2016,3,naive,2.0999999999999943,2.0999999999999943,1,2
Australian National University,2016,3,linear,4.219999999999999,4.219999999999999,1,2
Australian National University,2016,3,prophet,5.383856644202396,5.383856644202396,1,2
Australian National University,2016,3,naive,2.9000000000000057,2.9000000000000057,1,3
Australian National University,2016,3,linear,5.37999999999991,5.37999999999991,1,3
Australian National University,2017,3,naive,0.29999999999999716,0.29999999999999716,1,1
Australian National University,2017,3,linear,2.1857142857142833,2.1857142857142833,1,1
Australian National University,2017,3,prophet,4.679164228126282,4.679164228126282,1,1
Australian National University,2017,3,naive,1.1000000000000085,1.1000000000000085,1,2
Australian National University,2017,3,linear,2.9642857142857224,2.9642857142857224,1,2
Australian National University,2017,3,prophet,6.272894630097994,6.272894630097994,1,2
Australian National University,2017,3,naive,0.7999999999999972,0.7999999999999972,1,3
Australian National University,2017,3,linear,2.642857142857139,2.642857142857139,1,3
Australian National University,2018,3,naive,0.8000000000000114,0.8000000000000114,1,1
Australian National University,2018,3,linear,1.871428571428595,1.871428571428595,1,1
Australian National University,2018,3,prophet,1.5784365626519303,1.5784365626519303,1,1
Australian National University,2018,3,naive,0.5,0.5,1,2
Australian National University,2018,3,linear,1.3678571428571615,1.3678571428571615,1,2
Australian National University,2018,3,prophet,2.94335611441025,2.94335611441025,1,2
Australian National University,2018,3,naive,1.7999999999999972,1.7999999999999972,1,3
Australian National University,2018,3,linear,1.1357142857142577,1.1357142857142577,1,3
Australian National University,2019,3,naive,0.30000000000001137,0.30000000000001137,1,1
Australian National University,2019,3,linear,0.536111111111012,0.536111111111012,1,1
Australian National University,2019,3,prophet,1.3176060132737888,1.3176060132737888,1,1
Australian National University,2019,3,naive,2.6000000000000085,2.6000000000000085,1,2
Australian National University,2019,3,linear,2.0922222222222473,2.0922222222222473,1,2
Australian National University,2019,3,prophet,4.168028556281996,4.168028556281996,1,2
